Codigo,Categoria,Bairro,Cidade,ValorVenda,ValorLocacao,AreaTotal,AreaPrivativa,Dormitorios,Suites,Vagas,BanheiroSocial,Endereco,Numero,Complemento,CEP,UF,DataCadastro,DataAtualizacao,Status,Situacao,DescricaoWeb,TituloSite,BairroComercial,CodigoImobiliaria
189,Casa,Chácara das Pedras,Porto Alegre,1200000,,434.5,200,4,1,2,Sim,Estácio de Sá,162,,91330-430,RS,2021-07-09,2025-09-25,Venda,Usado,"Casa em bairro nobre, com 4 quartos, 1 suíte, 2 salas sendo uma com 35m² de área privativa, 2 cozinhas e 2 vagas de garagem. 
Em excelente localização, próximo ao Shopping Iguatemi. 
Agende sua visita !","CASA 4 DORM, 200M², BAIRRO CHACARA DAS PEDRAS",Chácara das Pedras,32622
190,Casa,Chácara das Pedras,Porto Alegre,1500000,,580,352,5,1,8,Sim,João Berutti,324,,91330-370,RS,2021-07-09,2025-09-30,Venda,Usado,"Oportunidade para imóvel comercial ou residencial junto  ao Iguatemi.

Casa semi mobiliada com 352m² de área útil, 5 dormitórios, sendo uma suíte, living para 4 ambientes, terraço com churrasqueira, piscina,  cozinha e  pátio gradeado. Na parte inferior acomoda  mais uma confortavel moradia. Acesso privativo com amplo pátio que comporta 8 carros.

Imóvel possui dois acessos um pela  rua João Berutti e outro pela  rua Gen. Francisco de Paula Cidade


Localizado próximo à praça no bairro Chácara das Pedras,  junto ao Shopping Iguatemi.

Agende sua visita.",Casa 5 quartos (1 suíte) no Chácara das Pedras,Chácara das Pedras,32622
194,Casa,Petrópolis,Porto Alegre,1200000,,440,165,5,0,4,Sim,Ferreira Viana,783,,90670-100,RS,2021-07-09,2025-09-25,Venda,Usado,"Reserva Imob vende casa de 05 dormitórios, com 165m², muito bem localizada. Um dormitório possui closet e outro quarto foi transformado em escritório, sala de estar e jantar, cozinha, lavanderia, depósito e churrasqueira. A casa possui uma outra casa anexa nos fundos que possui sala, cozinha, 2 banheiros, 4 dormitórios/quartos, sendo 3 de solteiro e 1 dormitório de casal. Venha conhecer! Marque sua visita!",,Petrópolis,32622
197,Empreendimento,Petrópolis,Porto Alegre,0,0,0,0,0,0,0,Nao,João Obino,247,,90470-150,RS,2021-07-09,2025-09-24,Venda,,,,Petrópolis,32622
209,Empreendimento,Passo da Areia,Porto Alegre,0,0,0,0,0,0,0,Nao,João Wallig,1815,,91340-001,RS,2021-07-14,2025-09-24,Venda,,,,Passo da Areia,32622
211,Cobertura,Petrópolis,Porto Alegre,2500000,,360.36,250.6,3,1,3,Sim,Faria Santos,690,602,90670-150,RS,2021-07-16,2024-10-23,Venda,Usado,"Cobertura mobiliada, impecável e reformada com 250 m² de área útil, 3 quartos sendo 1 suíte master, living para 3 ambientes, lareira, lavabo, cozinha americana, churrasqueira, terraço com piscina, sauna e  jacuzzi. 3 vagas de garagem coberta.

Condomínio com salão de festas e zelador.

Lolizado próximo ao Grêmio Náutico União sede Petrópolis.

Agende sua visita!",Cobertura 3 quartos (1 suíte) à venda nopetropolis,Petrópolis,32622
212,Empreendimento,Floresta,Porto Alegre,0,0,0,0,0,0,0,Nao,Cristóvão Colombo,4105,,90560-002,RS,2021-07-17,2025-09-24,Venda,,,,Floresta,32622
213,Empreendimento,Cristo Redentor,Porto Alegre,0,0,0,0,0,0,0,Nao,Américo Silveira,146,,91370-010,RS,2021-07-17,2025-09-24,Venda,,,,Cristo Redentor,32622
221,Empreendimento,Mont Serrat,Porto Alegre,0,0,0,0,0,0,0,Nao,Anita Garibaldi,1226,,90450-000,RS,2021-07-26,2025-09-24,Venda,,,,Mont Serrat,32622
233,Empreendimento,Auxiliadora,Porto Alegre,0,0,0,0,0,0,0,Nao,Comendador Rheingantz,696,,90450-020,RS,2021-07-30,2025-09-24,Venda,,,,Auxiliadora,32622
238,Apartamento,Praia de Belas,Porto Alegre,740000,,138.45,86.29,3,1,2,Sim,Padre Cacique,470,903,90810-240,RS,2021-07-30,2025-02-20,Venda,Usado,"Apartamento, semi mobiliado, com 86m² de área útil, 3 quartos, sendo uma suíte, living para 2 ambientes, com sacada, churrasqueira e cozinha americana. 2 vagas de garagem cobertas.

Condomínio com  infraestrutura completa. 

Localizado próximo à Miguel Couto e ao Treino White Tigers Baseball. 

Agende sua visita.",Apartamento 3 quartos (1 suíte) no Praia de Belas,Praia de Belas,32622
250,Empreendimento,Chácara das Pedras,Porto Alegre,0,0,0,0,0,0,0,Nao,Doutor Nilo Peçanha,3099,,91330-001,RS,2021-08-05,2025-09-24,Venda,,,,Chácara das Pedras,32622
252,Empreendimento,Moinhos de Vento,Porto Alegre,0,0,0,0,0,0,0,Nao,Marquês do Pombal,1900,,90540-000,RS,2021-08-05,2025-09-24,Venda,,,,Moinhos de Vento,32622
253,Empreendimento,Jardim Sabará,Porto Alegre,0,0,0,0,0,0,0,Nao,Doutor Carlos Renato R. Fonseca,125,,91210-120,RS,2021-08-05,2025-09-24,Venda,,,,Jardim Sabará,32622
259,Empreendimento,Jardim Carvalho,Porto Alegre,0,0,0,0,0,0,0,Nao,Gralha Azul,555,,91430-835,RS,2021-08-06,2025-09-24,Venda,,,,Jardim Carvalho,32622
264,Empreendimento,Boa Vista,Porto Alegre,0,0,0,0,0,0,0,Nao,Afonso Taunay,180,,90520-540,RS,2021-08-09,2025-09-24,Venda,,,,Boa Vista,32622
265,Empreendimento,Jardim Botânico,Porto Alegre,0,0,0,0,0,0,0,Nao,Machado de Assis,855,,90620-260,RS,2021-08-09,2025-09-24,Venda,,,,Jardim Botânico,32622
266,Empreendimento,Mont Serrat,Porto Alegre,0,0,0,0,0,0,0,Nao,Pedro Ivo,803,,90450-210,RS,2021-08-09,2025-09-24,Venda,,,,Mont Serrat,32622
267,Empreendimento,Praia de Belas,Porto Alegre,0,0,0,0,0,0,0,Nao,Padre Cacique,470,,90810-240,RS,2021-08-09,2025-09-24,Venda,,,,Praia de Belas,32622
278,Empreendimento,Boa Vista,Porto Alegre,0,0,0,0,0,0,0,Nao,General Tasso Fragoso,75,,90520-580,RS,2021-08-11,2025-09-24,Venda,,,,Boa Vista,32622
280,Casa,Chácara das Pedras,Porto Alegre,1250000,,330,330,3,1,4,Sim,Matias José Bins,1489,,91330-291,RS,2021-08-12,2025-09-25,Venda,Usado,"Casa semi mobiliada com 330 m² de área útil, 3 quartos sendo 1 suíte, living para 2 ambientes com lareira e sacada, banheiro social, copa cozinha, 4 vagas de garagem cobertas.

Casa com piscina, churrasqueira

Localizado na Matias José Bins , próximo à supermercado Gecepel, Protásio Alves

Agende sua visita!",Casa 3 quartos à venda no Chácara das Pedras,Chácara das Pedras,32622
329,Empreendimento,Rio Branco,Porto Alegre,0,0,0,0,0,0,0,Nao,Santa Cecília,2235,21998,90420-041,RS,2021-08-11,2025-12-04,Venda,Novo,"Inspirada pelos mais emblemáticos cartões postais lisboetas, apresentamos o Miradouro. Uma proposta arquitetônica diferenciada que estimula o olhar a partir de um novo ponto de vista: os altos do bairro Rio Branco. O Miradouro traduz a expressão mais contemporânea do morar em localização privilegiada, com espaço ideal e áreas condominiais completas e singulares que convidam a aproveitar o agora. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Rio Branco,32622
332,Apartamento,Rio Branco,Porto Alegre,1160150.36,0,0,77.38,2,2,1,Nao,Santa Cecília,2235,501,90420-041,RS,2021-08-11,2025-11-18,Venda,Novo,"Inspirada pelos mais emblemáticos cartões postais lisboetas, apresentamos o Miradouro. Uma proposta arquitetônica diferenciada que estimula o olhar a partir de um novo ponto de vista: os altos do bairro Rio Branco. O Miradouro traduz a expressão mais contemporânea do morar em localização privilegiada, com espaço ideal e áreas condominiais completas e singulares que convidam a aproveitar o agora. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Rio Branco,32622
334,Apartamento,Rio Branco,Porto Alegre,1196471.37,0,0,70.2,2,1,2,Nao,Santa Cecília,2235,1202,90420-041,RS,2021-08-11,2025-11-18,Venda,Novo,"Inspirada pelos mais emblemáticos cartões postais lisboetas, apresentamos o Miradouro. Uma proposta arquitetônica diferenciada que estimula o olhar a partir de um novo ponto de vista: os altos do bairro Rio Branco. O Miradouro traduz a expressão mais contemporânea do morar em localização privilegiada, com espaço ideal e áreas condominiais completas e singulares que convidam a aproveitar o agora. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Rio Branco,32622
385,Apartamento,Rio Branco,Porto Alegre,1349513.21,0,0,98.29,3,1,2,Nao,Vasco da Gama,1300,,90420-110,RS,2021-08-09,2025-12-01,Venda,Novo,"Imponent Residence, um projeto inovador, pensado para levar o conforto e localização para sua família. Localizado no alto do bairro Rio Branco junto ao bairro Bela vista, tem como característica possuir uma linda vista da cidade, podendo apreciar o famoso pôr do sol do rio Guaiba. Próximo ao Parcão e alto do bairro Bela Vista. Apartamentos frente com 108m² e 98m² de fundos, possui o apartamento Garden com 128m² de área, todos os apartamentos possuem vagas duplas. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Rio Branco,32622
386,Apartamento,Rio Branco,Porto Alegre,1490244.82,0,0,108.54,3,1,2,Nao,Vasco da Gama,1300,,90420-110,RS,2021-08-09,2025-12-01,Venda,Novo,"Imponent Residence, um projeto inovador, pensado para levar o conforto e localização para sua família. Localizado no alto do bairro Rio Branco junto ao bairro Bela vista, tem como característica possuir uma linda vista da cidade, podendo apreciar o famoso pôr do sol do rio Guaiba. Próximo ao Parcão e alto do bairro Bela Vista. Apartamentos frente com 108m² e 98m² de fundos, possui o apartamento Garden com 128m² de área, todos os apartamentos possuem vagas duplas. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Rio Branco,32622
40,Apartamento,Bela Vista,Porto Alegre,1650000,,451,304,3,1,2,Sim,Casemiro de Abreu,1494,201,90420-000,RS,2021-05-07,2025-11-25,Venda,Usado,"Apartamento garden, semi mobiliado, com 122 m² de área útil, 3 quartos, sendo uma suíte, living para 4 ambientes com jardim de inverno, churrasqueira, copa cozinha, 2 vagas de garagem cobertas.

Condomínio com portaria 24h, salão de festas, elevadorr e gás central.

Localizado na Casemiro de Abreu, próximo ao IPA.

Agende sua visita.",Apto Garden 3 quartos (1 suíte) à venda no Bela Vi,Bela Vista,32622
51,Empreendimento,Higienópolis,Porto Alegre,0,0,0,0,0,0,0,Nao,Honório Silveira Dias,1670,,90540-070,RS,2021-05-11,2025-09-24,Venda,,,,Higienópolis,32622
52,Empreendimento,Três Figueiras,Porto Alegre,0,0,0,0,0,0,0,Nao,Luiz Manoel Gonzaga,470,,90470-280,RS,2021-05-11,2025-09-24,Venda,,,,Três Figueiras,32622
53,Empreendimento,Três Figueiras,Porto Alegre,0,0,0,0,0,0,0,Nao,Luiz Manoel Gonzaga,915,,90470-280,RS,2021-05-11,2025-09-24,Venda,,,,Três Figueiras,32622
534,Apartamento,Bela Vista,Porto Alegre,879000,0,0,63.01,2,1,1,Nao,Casemiro de Abreu,111,502,90420-001,RS,2021-07-15,2025-11-04,Venda,Novo,"Localizado em área prestigiada de Porto Alegre, o Lexington 111 está edificado em uma rua caracterizada como túnel verde, de calçadas largas e com ares de cidade serrana. Seu reservatório de água da chuva e seu eco telhado reforçam ainda mais a reciprocidade com o meio ambiente urbano. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Bela Vista,32622
535,Apartamento,Bela Vista,Porto Alegre,1042300,0,0,78.61,2,2,2,Nao,Casemiro de Abreu,111,,90420-001,RS,2021-07-15,2025-11-04,Venda,Novo,"Localizado em área prestigiada de Porto Alegre, o Lexington 111 está edificado em uma rua caracterizada como túnel verde, de calçadas largas e com ares de cidade serrana. Seu reservatório de água da chuva e seu eco telhado reforçam ainda mais a reciprocidade com o meio ambiente urbano. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Bela Vista,32622
58,Salas/Conjuntos,Petrópolis,Porto Alegre,415000,,54.09,34.88,0,0,1,Nao,Senador Tarso Dutra,161,1309,90690-140,RS,2021-05-11,2025-11-28,Venda,,"Reserva imóveis vende linda sala comercial, de frente, com amplas janelas, muito iluminada, sol leste, andar alto, com vista maravilhosa para a cidade. Ótima localização para consultórios e escritórios. Empreendimento novo e de alto padrão no bairro Petrópolis. Agende logo a sua visita.",Sala comercial nova e diferenciada,Petrópolis,32622
59,Cobertura,Bela Vista,Porto Alegre,2650000,,348.53,283.16,3,1,2,Sim,Jaraguá,152,702,90450-140,RS,2021-05-12,2025-11-26,Venda,Usado,"Cobertura com 283 m² de área útil, 3 quartos sendo 1 suítes, living para 4 ambientes, lareira, churrasqueira, lavabo, cozinha americana, 2 vagas de garagem cobertas.

Condomínio com elevador , salão de festas e portaria 24h.

Localizado próximo à Nilo Peçanha e Praça da Encol.

Agende sua visita!",Cobertura 3 quartos ( 1 suíte) à venda  Bela vista,Bela Vista,32622
648,Apartamento,Auxiliadora,Porto Alegre,1280000,0,0,123.81,2,2,2,Nao,Coronel Bordini,980,402,90440-003,RS,2021-06-04,2025-11-10,Venda,Novo,"Um bloco único, esculpido para que fique apenas o que realmente importa. A luz natural, a amplitude, o conforto. A reconexão com o verde. A integração com a rua e a vida da cidade. O respiro na rotina acelerada. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Auxiliadora,32622
67,Apartamento,Rio Branco,Porto Alegre,3300000,,310,207.67,3,3,3,Sim,Doutor Lauro de Oliveira,140,1002,90420-210,RS,2021-05-12,2025-10-16,Venda,Usado,"Apartamento de 207,67 m² privativos com 3 suítes, sendo a máster com closet e hidromassagem, além de opção para uma 4ª suíte ou gabinete. Amplo living integrado a 4 ambientes, lareira, churrasqueira, copa-cozinha, dependência de serviço completa, 3 vagas de garagem e depósito privativo.

Condomínio com infraestrutura completa: salão de festas, espaço fitness, sauna, quadra esportiva, gerador de energia, reaproveitamento de água da chuva, guarita com segurança reforçada e vagas para visitantes.

Localização privilegiada, com vista definida para a cidade, ótima posição solar e fácil acesso a serviços, escolas e comércios da região.

Agende sua visita!","APARTAMENTO 3 SUITES, 3 VAGAS NO BAIRRO RIO BRANCO",Rio Branco,32622
704,Terreno,Morro Santana,Porto Alegre,336015,0,0,337.98,0,0,0,Nao,Protásio Alves,12000,1,91260-000,RS,2021-05-17,2025-11-13,Venda,Novo,"Condomínio fechado de terrenos com infraestrutura completa de segurança e lazer. Localizado na Etapa IV do Residencial Verdes Campos. Clube com piscina infantil e adulto, sauna seca, espaço gourmet, sala fitness, lounge, churrasqueira e áreas de lazer infantil. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Morro Santana,32622
711,Apartamento,Petrópolis,Porto Alegre,1156000,0,0,81,2,2,2,Nao,Encantado,260,,90470-420,RS,2021-05-13,2025-12-02,Venda,Novo,"Le Jardin ? Aproveite a oportunidade de viver, aproveite o brilho do sol e a vista, aproveite o espaço - aproveite o seu ?Le Jardin?! Apenas 10 apartamentos exclusivos de arquitetura singular, planejados para aproveitar todos os espaços. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Petrópolis,32622
79,Empreendimento,Boa Vista,Porto Alegre,0,0,0,0,0,0,0,Nao,Inácio Vasconcelos,40,,90480-160,RS,2021-05-17,2025-09-24,Venda,,,,Boa Vista,32622
83,Empreendimento,Navegantes,Porto Alegre,0,0,0,0,0,0,0,Nao,Doutor João Inácio,1208,,90230-181,RS,2021-05-20,2025-09-24,Venda,,,,Navegantes,32622
1044,Apartamento,Petrópolis,Porto Alegre,849000,0,0,65.75,2,1,1,Nao,Jaime Teles,136,,90460-030,RS,2020-11-06,2025-12-03,Venda,Novo,"Morar no Petrópolis é viver em um bairro ativo e conectado, com todos os benefícios que você espera da vida urbana. O iO está em um dos pontos mais privilegiados da região, próximo à principal avenida de negócios de Porto Alegre, além de escolas, farmácias, bancos, prestadores de serviço e muito mais. Com uma caminhada pelo bairro ou pela Protásio, você vai encontrar todas as conveniências cotidianas que precisa. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Petrópolis,32622
1054,Apartamento,Mont Serrat,Porto Alegre,1779000,0,0,123.97,3,3,2,Nao,Tito Lívio Zambecari,800,302,90450-230,RS,2020-11-05,2025-11-10,Venda,Novo,"O empreendimento dispõe de 1 torre, 16 unidades ao todo, sendo 2 apartamentos Garden por andar. Plantas de 123 a 125 m². 3 dormitórios (uma suíte master e duas suítes americanas), churrasqueira, área de serviço com banheiro auxiliar. 2 ou 3 vagas de garagem. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Mont Serrat,32622
1066,Apartamento,Passo da Areia,Porto Alegre,538064.65,0,0,54.57,2,1,1,Nao,Francisco Trein,116,,91350-200,RS,2020-10-21,2025-12-04,Venda,Novo,"São apartamentos de 2 e 3 dormitórios com suíte e churrasqueira em todas as unidades. O empreendimento com uma infraestrutura completa de lazer, fitness, piscina, dois quiosques com churrasqueira, espaço gourmet, salão de festas, lounge externo, playground e brinquedoteca. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Passo da Areia,32622
1067,Apartamento,Passo da Areia,Porto Alegre,635673.97,0,0,67.23,3,1,1,Nao,Francisco Trein,116,,91350-200,RS,2020-10-21,2025-12-04,Venda,Novo,"São apartamentos de 2 e 3 dormitórios com suíte e churrasqueira em todas as unidades. O empreendimento com uma infraestrutura completa de lazer, fitness, piscina, dois quiosques com churrasqueira, espaço gourmet, salão de festas, lounge externo, playground e brinquedoteca. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Passo da Areia,32622
1079,Apartamento,Petrópolis,Porto Alegre,3334549,0,0,181.2,3,3,2,Nao,Soledade,223,401,90470-340,RS,2020-10-06,2025-12-04,Venda,Novo,"Uma extensa onda esculpida na fachada flerta com o olhar. Suas linhas leves e orgânicas atualizam traços da arquitetura modernista brasileira e emolduram um mosaico recortado em aço cortén que homenageia a natureza. Área total de 160,2m². 3 suítes ou Suíte Voz de 45m² + 1 suíte. Lavabo, banho de serviço, lareira e churrasqueira. Até 3 vagas de garagem. Planta livre com estruturas de espera elétrica e hidrossanitária. Amplas janelas de peitoril baixo no living e no dormitório casal. Persianas motorizadas nos dormitórios. Vidros laminados de alto desempenho acústico e térmico. Manta acústica em toda a unidade. Gerador pleno em todo o empreendimento. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Petrópolis,32622
1082,Apartamento,Petrópolis,Porto Alegre,926000,0,0,78.4,2,2,1,Nao,Professor Ivo Corseuil ,290,,90690-410,RS,2020-10-06,2025-10-03,Venda,Novo,"Quando foi a última vez que você mudou? Não só a mudança de sua casa ou apartamento, mas a maneira de viver a vida, novos hábitos, mais bem estar. Faça sua mudança para o Europa Surpreendente, um empreendimento que vai fazer você viver com mais qualidade de vida. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Petrópolis,32622
1083,Apartamento,Petrópolis,Porto Alegre,817000,0,0,67.37,2,1,1,Nao,Professor Ivo Corseuil ,290,,90690-410,RS,2020-10-06,2025-10-03,Venda,Novo,"Quando foi a última vez que você mudou? Não só a mudança de sua casa ou apartamento, mas a maneira de viver a vida, novos hábitos, mais bem estar. Faça sua mudança para o Europa Surpreendente, um empreendimento que vai fazer você viver com mais qualidade de vida. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Petrópolis,32622
1112,Apartamento,Mont Serrat,Porto Alegre,459692.99,0,0,28.35,1,0,0,Nao,Silva Jardim,773,,90450-071,RS,2020-08-14,2025-12-04,Venda,Novo,"Uma tendencia mundial para morar ou investir, com áreas condominiais são uma extensão dos apartamentos. Integração, convivência e conveniência em um projeto com design surpreendente. The Arch. Múltiplas perspectivas em um endereço além das expectativas. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Mont Serrat,32622
1113,Apartamento,Mont Serrat,Porto Alegre,780395.97,0,0,44.97,1,1,1,Nao,Silva Jardim,773,,90450-071,RS,2020-08-14,2025-12-04,Venda,Novo,"Uma tendencia mundial para morar ou investir, com áreas condominiais são uma extensão dos apartamentos. Integração, convivência e conveniência em um projeto com design surpreendente. The Arch. Múltiplas perspectivas em um endereço além das expectativas. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Mont Serrat,32622
1143,Apartamento,Sarandi,Porto Alegre,293698.69,0,0,38.49,2,0,1,Nao,Três de Outubro,25,,91130-470,RS,2020-07-01,2025-12-04,Venda,Novo,"A construtora Vivaz é uma marca do grupo Cyrela focada no segmento econômico. Possui diversos empreendimentos no RJ e SP e, agora, chega a Porto Alegre lançando o Vivaz Ecoville. Situado no bairro Ecoville, conta com apartamentos de 2 dormitórios com churrasqueira. A infraestrutura de condomínio é completa e conta com diversos espaços de lazer para a família do seu cliente. Entre em contato e conheça o Vivaz Ecoville. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Sarandi,32622
1144,Apartamento,Sarandi,Porto Alegre,260194.43,0,0,38.49,2,0,0,Nao,Três de Outubro,25,101T2,91130-470,RS,2020-07-01,2025-12-04,Venda,Novo,"A construtora Vivaz é uma marca do grupo Cyrela focada no segmento econômico. Possui diversos empreendimentos no RJ e SP e, agora, chega a Porto Alegre lançando o Vivaz Ecoville. Situado no bairro Ecoville, conta com apartamentos de 2 dormitórios com churrasqueira. A infraestrutura de condomínio é completa e conta com diversos espaços de lazer para a família do seu cliente. Entre em contato e conheça o Vivaz Ecoville. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,Sarandi,32622
1181,Apartamento,Bela Vista,Porto Alegre,3433601.56,0,0,164.78,3,3,2,Nao,Engenheiro Adolfo Stern,80,1201,90440-100,RS,2020-03-17,2025-12-04,Venda,Novo,Vistas que revelam o melhor da cidade. Vistas que revelam o seu melhor. Em um atencioso e sincero olhar. Traduzido pela arquitetura. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.,,Bela Vista,32622
1205,Apartamento,São João,Porto Alegre,513944.84,0,0,56.28,2,1,1,Nao,Ceará,1676,,90240-512,RS,2020-01-17,2025-12-04,Venda,Novo,"O empreendimento foi planejado em cada detalhe para realizar seus desejos. Com personalidade e estilo, oferece infraestrutura completa para o seu lazer e bem-estar. É o privilégio de viver em todos os dias em uma região repleta de facilidades. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,São João,32622
1206,Apartamento,São João,Porto Alegre,624608.65,0,0,67.03,3,1,1,Nao,Ceará,1676,202,90240-512,RS,2020-01-17,2025-12-04,Venda,Novo,"O empreendimento foi planejado em cada detalhe para realizar seus desejos. Com personalidade e estilo, oferece infraestrutura completa para o seu lazer e bem-estar. É o privilégio de viver em todos os dias em uma região repleta de facilidades. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.",,São João,32622
